FarmID	Longitude	Latitude
1	-79.143220	43.205715
2	-79.497201	43.165501
3	-79.605082	43.203818
4	-79.511127	42.922019
5	-79.485357	43.180315
6	-79.243500	43.123785
7	-79.327485	43.015611
8	-79.156414	43.195555
9	-79.369957	43.149885
10	-79.127867	43.157614
11	-79.414529	43.166601
12	-79.445736	43.171327
13	-79.310251	43.184182
14	-79.464095	43.144955
15	-79.677240	43.080265
16	-79.458871	43.142750
17	-79.364808	43.024205
18	-79.270261	43.047085
19	-79.684260	42.919659
20	-79.093056	43.244997
21	-79.392034	43.138755
22	-79.071028	43.200315
23	-79.133894	43.212923
24	-79.410056	43.157129
25	-79.559279	43.194423
26	-79.310210	43.031840
27	-79.361001	43.173799
28	-79.297282	43.108960
29	-79.491638	43.161167
30	-79.503130	43.179979
31	-79.134755	43.212246
32	-79.424457	43.166793
33	-79.554260	43.031610
34	-79.272678	43.078118
35	-79.290808	43.057701
36	-79.309187	43.183846
37	-79.093091	43.244940
38	-79.108377	43.233055
39	-79.401341	43.153472
40	-79.583478	43.203807
41	-79.140623	43.250148
42	-79.061799	43.232615
43	-79.476872	43.185012
44	-79.158056	43.164050
45	-79.438799	43.158800
46	-79.311813	43.070948
47	-79.413665	43.152191
48	-79.477939	43.152793
49	-79.179582	43.162475
50	-79.090946	43.088572
51	-79.110007	43.089312
52	-79.297894	43.187586
53	-79.151455	43.245094
54	-79.284710	43.044456
55	-79.086426	43.252648
56	-79.507678	43.179925
57	-79.298748	43.062235
58	-79.113243	43.229187
59	-79.252366	42.885135
60	-79.163998	43.233468
61	-79.105687	43.158419
62	-79.684260	42.919659
63	-79.413600	43.151272
64	-79.051972	42.882278
65	-79.497215	43.168778
66	-79.415264	43.179907
67	-79.469723	42.922070
68	-79.018771	42.885436
69	-79.552199	43.179052
70	-79.165983	43.188173
71	-79.246287	43.158361
72	-79.171358	43.227191
73	-79.097910	43.241207
74	-79.124947	43.252843
75	-79.120675	43.252858
76	-79.413706	43.152928
77	-79.395177	43.192212
78	-79.486990	43.178588
79	-79.497017	43.154729
80	-79.497201	43.165498
81	-79.434707	43.158897
82	-79.601691	43.195489
83	-79.403872	43.145311
84	-79.487199	43.189790
85	-79.427256	43.172524
86	-79.410056	43.157129
87	-79.295961	43.060921
88	-79.248673	42.990385
89	-79.285631	43.055387
90	-79.433898	43.158812
91	-79.371816	43.024127
